Job_Title,Job_Description,company,location ,Industry,Employment_type,Job Function,Experence_Level
Anaplan Product Manager,"We’re looking for an IT Application Product Manager to join Snap Inc. As a member of the Enterprise Applications team, you will work with Finance, Engineering, and other internal business units to support our Planning and Analysis strategy and roadmap. Working from our Los Angeles, CA headquarters, you will be responsible for the architecture, design, and operations of our critical cloud-based business application for reporting.

What You'll Do
Partner with Business Partner Finance, Revenue Strategy (sales commissions), Sales Ops, and other teams with reporting/planning needs to architect, scope (functional and technical), build and test innovative solutions that seamlessly integrate Anaplan applications into the larger connected planning vision. Includes designing new models for automating business reporting packages (covers metrics as well as financial results), performing analysis of datasets, building accurate data mappings, and conducting data validation
Serve as the architectural SME for large-scale connected planning solutions (Anaplan); coordinate system upgrade activity, respond to issues and incidents, and provide day-to-day administration/front-line support of the critical business systems that drive our planning team
Collaborate with Data, Engineering, and other teams to architect necessary data pipelines to support your internal customers reporting, data, and analytics needs
Translate existing solutions, spreadsheets, and business problems into sophisticated Anaplan multi-dimensional models, including modifying existing models as part of a connected solution, optimization, or to incorporate new functionality
Evaluate third-party software products for solutions, as appropriate. Manage relationships with those Vendors in a positive way
Manage system adoption and satisfaction, including training users on the Anaplan application relevant to their jobs, and provide support to users and maintain proper system access
Document and follow formal policies, procedures, and protocols for changes, customization, standards, usage, etc.
Keep your internal customers and management up-to-date on all roadmap initiatives
Function as an analyst and business partner to model, design, and build business solutions that improve Snap’s processes

Minimum Qualifications
A four-year college degree in a relevant discipline (MIS, IT business/computer science, business)
3+ years of experience implementing Enterprise Performance Management solutions (either Anaplan, Adaptive Insights, Oracle EPM, Host Analytics, Cognos, etc.)

Preferred Qualifications
Exceptional communication and listening skills; ability to convey complex ideas in a clear, concise manner to both technical and non-technical audiences
Project Management capabilities; develop requirements, estimate work efforts, etc.
Experience with relational databases, SQL development, data integration, and data analysis
Balance technical skills with business savvy – ability to transform end-user needs into technical and functional requirements
Experience with Jira or similar systems
Advanced Microsoft Excel modeling skills
Experience with full system implementation life-cycles of at least one implementation (analyze, design, build, test, implement, support)
Subject matter expertise in planning and modeling in Supply Chain, Finance or Sales strongly preferred
2+ years of experience implementing, and architecting Anaplan; Anaplan Certified is preferred!
Seniority Level
Entry level
Industry
Marketing & Advertising Computer Software Internet
Employment Type
Full-time
Job Functions
Product Management Marketing",Snap Inc.,"Los Angeles, CA, US","Marketing & Advertising,Computer Software,Internet",Full-time,Product Management Marketing,Entry level
E-Commerce Marketplace Associate (French),"Satechi is a fast-paced, global manufacturer of consumer electronic accessories, both online and at retail, and we’re looking for a French speaking E-Commerce Marketplace Associate to grow sales on assigned online markets. This position will closely work with Customer Service and Social Media departments.

Responsibilities:
Create and manage product listings on Amazon and other online sales channels
Manage the day to day responsibilities for Amazon and other marketplaces
Provide customer support to French speaking customers
Communicate with Amazon to navigate issues
Conduct campaigns and promotions
Project and manage inventory levels on French sales channels
Translate English product descriptions and user manuals into French.
Liaison with French reviewers and bloggers
All other duties as needed
Qualifications:
Bilingual in French/English
BA degree in Business or Marketing
Proficiency using Microsoft Office programs, with specific focus on MS Excel
Knowledge of Amazon Seller Central
Web analytics and product listings experience preferred
Tech Savvy, detail oriented and punctual
Handle projects and duties concurrently and prioritize them effectively
Salary: DOE
Office Hours: 8:30am - 5:00pm
*SATECHI offers benefits package (%100 Paid by Employer Health and Dental insurance, Paid Holidays, Vacation days, Paid sick days and Participation in the company's 401(k) savings plan with employer matching contribution) after completion of 60 day introductory period.
Job Type: Full-time
Seniority Level
Entry level
Industry
Consumer Electronics
Employment Type
Full-time
Job Functions
Customer Service Marketing Sales",Satechi,,Consumer Electronics,Full-time,Customer Service Marketing Sales,Entry level
Financial Analyst,"Greenlane, founded in 2005 is the leading distributor of premium brands in the burgeoning head shop, smoke shop, and dispensary channels. We devise bespoke go-to-market solutions as well as sales and marketing strategies for the best products in the industry and aid their manufacturers at every turn of the product life cycle. We have operations in seven North American cities including six highly automated distribution centers. We also own and operate several leading e-commerce websites, and brick and mortar retail outlets. We work in a fast-paced and competitive industry that demands hard work and dedication, but we have built a unique company culture that allows our growing team of more than two hundred to support our success, each other, and surpass our goals all while having fun.
We offer competitive salaries and benefits, including healthcare and 401k with match, plus perks like a gym membership, super healthy snacks made fresh daily, and more. Greenlane promotes from within, allowing driven candidates the ability to earn progressive roles and responsibilities.
Job Purpose
The Financial Analyst (FA) works with business leaders to budget, forecast, and analyze business performance.  Activities include, but are not limited to, financial modeling, creating insightful finance or sales analyses, reporting, and budget analysis.  The FA is expected to assist, or lead projects designed to capture opportunities to improve the organization. The FA must be an analytical thinker with strong communication skills and will be expected to work independently with minimal guidance.
 Duties & Responsibilities
Works with business leaders and budget owners to review monthly performance and explain variances to budget, forecast, and prior periods.
Automates and improves existing daily, weekly, monthly, quarterly, and annual reporting.
Prepares forecast roll-ups, pipeline, and trending reports.
Manages, maintains, and improves three statement financial models.
Improves data governance through execution of data cleanup and data quality initiatives.
Aids in the creation of various KPI and QBR presentations with guidance from management.
Completes ad-hoc reporting requests as directed.
Supports or leads initiatives for process improvement and analytics projects.
Strives to consistently keep technical skills up to date by participating in training when needed.
Other duties as assigned by manager or designee.
 Qualifications & Skills Required
Bachelor’s Degree in Finance, Accounting, Business Administration, or similar field or four years of additional equivalent experience in lieu of a degree.
2-3 years of experience in Sales Analytics, Financial Analysis (FP&A).
Familiarity with Accounting, Finance, M&A (preferred).
Intermediate level of usage of Microsoft Excel with strong ability to automate reports, create charts and graphs, (pivots, lookup functions, conditional formulas and formatting, etc.).
Experience with NetSuite, Salesforce, Microsoft Dynamics or similar CRM.
Experience with BI reporting tools such as Tableau, Qlik, Domo, Microsoft Power BI (preferred).
Experience with manufacturing or CPG product distribution networks (preferred).
Fluent in written and verbal English. Additional language skills a plus.
 Physical Requirements
Work is performed while standing, sitting and/or walking.","Greenlane Holdings, Inc.",,,,,
Data Analyst,"Data Analyst

First Steps Kent is an independent, public-private partnership that leads community efforts to strengthen and coordinate early childhood services in Kent County, Michigan. By providing knowledge, skills, and opportunities to families, we invest in the community’s youngest children to ensure a more prosperous future for all—and you can help!

In November 2018, Kent County passed a .25 mil increase. This will generate more than $5 million annually for the next 6 years to provide dedicated funding for community-based early childhood programs that are proven to work, ensuring that children and their families have access to vital services and supports. First Steps Kent is the organization administering these funds based on recommendations from the Resident Proposal Review Board.

We are in search of a Data Analyst with an innate attention to detail who can be a resource to the staff of millage-funded programs and ensure compliance with Ready by Five Early Childhood millage requirements through analysis, strong communication, and relationship building. We’re excited to add to our team!

What Your Day Will Look Like
Uses all aspects of Ready by Five data collection process to ensure service provider data reporting is accurate. Supports community partners data entry process by answering technical questions and provides problem-solving technical consultation, as needed.
Uses quantitative and qualitative data to prepare monthly updates for leadership and community stakeholders on Ready by Five programs and initiatives. Supports implementation and oversee updating of trends performance management scorecard.
Reviews program compliance with reporting requirements, deliverables, subcontracts, and contractual scopes of work, as needed.
Analyzes and extrapolates large data sets, reviews, compiles and identifies relevant information within reports.
Conducts scholarly research and literature reviews as related to assigned projects.

What We’re Looking For In a Candidate
Bachelor’s degree in Statistics, Business Analytics or related field.
2 or more years of relevant experience analyzing and interpreting data.
Strong familiarity with early childhood programming.
A strong ethical principle, emphasizing integrity and confidentiality in all work.
Self-motivated individual who also values teamwork and collaboration.
Meticulous attention to detail with excellent verbal, written and interpersonal skills.
A passion for improving the lives of young children.

What We Can Offer You
Competitive salary and comprehensive benefits, with a generous PTO package
Positive work/life balance
An opportunity to make a significant impact on the growth and development of children and families across Kent County
To learn more about the work First Steps Kent is doing and the Ready by Five millage, check us out online at

First Steps Kent is an Equal Opportunity Employer
Seniority Level
Entry level
Industry
Information Technology & Services Non-profit Organization Management Financial Services
Employment Type
Full-time
Job Functions
Information Technology",1st Steps Housing Kent,"Grand Rapids, MI, US","Information Technology & Services,Non-profit Organization Management,Financial Services",Full-time,Information Technology,Entry level
Data Analyst,"We are looking for a passionate certified Data Analyst.

The successful candidate will turn data into information, information into insight and insight into business decisions.

Responsibilities

Interpret data, analyze results using statistical techniques and provide ongoing reports

Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality

Acquire data from primary or secondary data sources and maintain databases/data systems

Identify, analyze, and interpret trends or patterns in complex data sets

Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems

Work with management to prioritize business and information needs

Locate and define new process improvement opportunities

Requirements

Proven working experience as a data analyst or business data analyst

Technical expertise regarding data models, database design development, data mining and segmentation techniques

Strong knowledge of and experience with reporting packages, databases, programming

Knowledge of statistics and experience using statistical packages for analyzing datasets

Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy

Adept at queries, report writing and presenting findings
Seniority Level
Entry level
Industry
Non-profit Organization Management Management Consulting Retail
Employment Type
Full-time
Job Functions
Information Technology",Vyke AS,"Olathe, KS, US","Non-profit Organization Management,Management Consulting,Retail",Full-time,Information Technology,Entry level
SQL Data Analyst,"SQL Data Analyst

Location Redmond, WA

Duration 12 months

Technology

SQL Server 2014/16, Good SQL & ETL skills

Good knowledge of SSIS

Some Experience / Knowledge Of COSMOS

Working knowledge of PowerBI

Strong data analytical skills

Ability to make business conclusions from data, connect scenarios

Strong knowledge on Excel Pivots, PowerPivots, Charts

Additional Skills

Understanding Data Management & BI concepts, Data Analysis, Analytics, Cubes, Reporting Technologies, ETL

Prior Experience In Microsoft Landscape Is Preferred

Ability to deal with ambiguity and work in agile environment.

Excellent communications skills

Attention to detail

Strong troubleshooting skills

Hands on experience with SharePoint

Responsibilities Include

Troubleshoot complex data related issues escalated from Tier 1

Provides extensive troubleshooting and technical expertise in identifying data issues that impact data metrics.

Gather and Confirms project requirements by studying user requirements; conferring with others on project team.

Provides support to the users on any data related questions/issues reported.

Maintains client confidence and protects operations by keeping information confidential.

Documenting the different processes.

Solving data discrepancies and providing business intelligence insights.

Monitor data extract, transform, and load (ETL) jobs and respond to any job failures.

Flexibility to support production issues during off hours.

Thank you

Vijay

425-278-4666

vijay@rmtechnotree.com
provided by Dice
Seniority Level
Entry level
Industry
Information Technology & Services Computer Software Telecommunications
Employment Type
Full-time
Job Functions
Information Technology",RM TECHNOTREE INC,"Redmond, WA, US","Information Technology & Services,Computer Software,Telecommunications",Full-time,Information Technology,Entry level
Financial Analyst,"Salary: $75,000

We have partnered with a large Food Manufacturing Company in the Vernon, CA area to provide them with a Financial Analyst, FP&A (Food).

Please review the below description and if you are interested please contact:
Sandy Maiale at click apply click apply

Summary

Job Description:

Main responsibilities are to manage financial reporting for the business and development of new processes to improve reporting. This role works directly with accounting staff and accounting management to develop P&L reporting by business/business segment and customer profitability analysis.

Responsibilities
Build the analytics processes required to provide critical business intelligence
Perform financial analysis and profitability analysis; assist in implementing new procedures in support of reporting needs.
Help prepare division budget and revised profit estimates.
Lead weekly financial reporting estimation and reporting.
Work on yearly budget and communicate variances on a monthly basis.
Seniority Level
Entry level
Industry
Information Technology & Services Staffing & Recruiting Financial Services
Employment Type
Full-time
Job Functions
Finance Sales","Relevante, Inc.","Vernon, CA, US","Information Technology & Services,Staffing & Recruiting,Financial Services",Full-time,Finance Sales,Entry level
Project Admin Specialist,"Do you want your voice heard and your actions to count?

Discover your opportunity with Mitsubishi UFJ Financial Group (MUFG), the 5th largest financial group in the world (as ranked by S&P Global, April 2018). In the Americas, we’re 13,000 colleagues, striving to make a difference for every client, organization, and community we serve. We stand for our values, developing positive relationships built on integrity and respect. It’s part of our culture to put people first, listen to new and diverse ideas and collaborate toward greater innovation, speed and agility. We’re a team that accepts responsibility for the future by asking the tough questions and owning the solutions. Join MUFG and be empowered to make your voice heard and your actions count.

As a Project Administrative Specialist you will be responsible for the research, coordination and management of assigned projects. Scope of projects may include (but not limited to): Workshop/program support, simplifying processes, general administrative support, reporting, improve efficiencies, meet changing business needs, compliance regulatory issues, installation or coordination of emerging technologies, new systems and applications.
You will performs complex administrative duties involving frequent exercise of independent judgment, initiative, and diplomacy.
You will lead department support functions. Monitors and reports on trends.
Requires the ability to describe business problems and their solutions to management.
Makes recommendations to management for improvements to various projects, tasks and objectives.
Reviews, evaluates and renders, reports based on business unit projects and initiatives.
May assist with general administrative duties, including general correspondence, arrangement of meeting facilities.
Processes and coordinates department accounts.
Coordination/Program Support
Provides program coordinator support for large inter-division projects by assisting in the administration of the project plan.
Advises and contributes in decisions regarding development and execution of department projects and programs.
Designs and develops reporting to keep projects on target, identify issues resolution and update management on projects.
Serves as a coordinator of various projects.
Assists with the coordination of project or program implementation and rollout.
Leads vendor relationships for production of program and project materials.
Serves as contact for department clients.
Conducts research and data analysis for special and on-going projects.
Prepares reports and recommendations.
Compiles data for various administrative reports.
Prepares /summarizes information from raw data using spreadsheets or other software

Education, Year Of Experience (and Type Of Work Experience)
Typically requires 3+ years of demonstrated knowledge in project coordination experience, and strong business analytics.

Knowledge, Skills, Abilities
You will have advanced communication skill level for written and presentations, planning, negotiation, reports construction with knowledge of internal policies and presentations.
Requires the ability to create mathematical computations in spreadsheets and convert to presentation level materials
Ability to creatively and effectively convey ideas through verbal and written communications.
Excellent organization and people skills.
Strong database, spreadsheet, PowerPoint, and general computer skills.
Project management leadership skills.
An ability to work with and across multiple departments.
Excellent presentation and written communication skills.
Diligence, attention to detail, resourceful and technical data analytics.
Ability to meet changing business needs and understand compliance regulatory issues.
The above statements are intended to describe the general nature and level of work being performed. They are not intended to be construed as an exhaustive list of all responsibilities duties and skills required of personnel so classified.

We are proud to be an Equal Opportunity / Affirmative Action Employer and committed to leveraging the diverse backgrounds, perspectives, and experience of our workforce to create opportunities for our colleagues and our business.

We do not discriminate in employment decisions on the basis of any protected category.

A conviction is not an absolute bar to employment. Factors such as the age of the offense, evidence of rehabilitation, seriousness of violation, and job relatedness are considered in all employment decisions. Additionally, it's the bank's policy to only inquire into a candidate's criminal history after an offer has been made. Federal law prohibits banks from employing individuals who have been convicted of, or received a pretrial diversion for, certain offenses.

Job

Administration

Primary Location

ARIZONA-Tempe

Job Posting

Aug 22, 2019, 12:47:51 PM

Shift

Day

Schedule

Full Time

Seniority Level
Entry level
Industry
Financial Services Banking
Employment Type
Full-time
Job Functions
Administrative",MUFG,,"Financial Services,Banking",Full-time,Administrative,Entry level
Google Analytics Specialist,"Neighborhoods.com is seeking diligent and detail-oriented Google Analytics Specialist to join our team in Chicago’s vibrant Fulton River District neighborhood. This position will be responsible for measuring, testing, and analyzing digital data for the company’s two brands in order to improve online reach, strengthen engagement and support larger marketing and business objectives. What you’ll be doing as our Google Analytics Specialist: Performing measurement, analysis and reporting of web and campaign performance metrics from Google Analytics and major ad serving platforms.Defining and maintaining core competencies, best practices and benchmarks surrounding digital analytics.Identifying opportunities for optimization of web sites, email campaign, and SEO/SEM programs. Developing on-going and ad-hoc reports to track key performance metrics. Developing acquisition, retention, activation, and lead generation suggestions based on analytics data. Tracking, assessing and reporting customer user journeys to determine the strongest path to conversion and purchase, to develop actionable insights/actions and testing strategies to increase traffic and increase conversionsSupporting implementation and customization of third-party analytics software. Recommend changes to wireframes, concepts and campaign messages based on analytics data.We think you could be really successful if you: Have a curious mind and aren’t afraid to bring big ideas to the tableMaintain positive energy in a team environmentCan handle multiple projects and manage deadlinesAre a team player, but also a self-starter who goes above and beyond the task at hand Bonus Points if you have:An advanced degree in Marketing, Economics, Data Science, or Information TechnologyWhy Neighborhoods.com?The standards: insurance, 401k with match, flexible PTO, and casual dress codePaid parental leavePre-tax commuter programWest Loop neighborhood (easy commute and lots of food options)Volunteer and charity opportunitiesCold-brew coffee on tapTransparent and approachable leadership and managementHelp make a difference in the lives of homeowners across the countryNeighborhoods.com is an equal opportunity employer, of people from all different backgrounds, ethnicities, races, colors, religions, sexual orientations, gender identities, and ages. We strive to foster an inclusive environment, that is comfortable for everyone. We will not tolerate harassment or discrimination of any kind.We are interested in every qualified candidate who is eligible to work in the United States. However, we are not able to sponsor visas. by Jobble
Seniority Level
Entry level
Industry
Internet Financial Services Accounting
Employment Type
Full-time
Job Functions
Other",Center For Neighborhoods,"Chicago, IL, US","Internet,Financial Services,Accounting",Full-time,Other,Entry level
IT Product Manager / Business Intelligence - Alpharetta,"Our client, major player in the Telecommunications Services industry located in Alpharetta, GA, is searching for a searching for an IT Product Manager.

The IT Product Manager will work with three line of business and the respective development teams to transform business requirements into IT solutions. This role requires solid experience with Microsoft Business Intelligence toolset, BI development lifecycles and knowledgeable on Ralph Kimball concepts.

They are looking for individuals that excels in a small agile, collaborative, dynamic and fast-paced environment.

Responsibilities
Researches, defines, prioritizes and documents product requirements, user stories and design for feature enhancements for existing and new data analytics efforts, while considering the needs of existing customers and our overall company strategy.
Takes ownership and manages assigned product through all phases of product life cycle.
Contributes to the strategic and operational planning for the solutions team.
Leads backlog grooming sessions with the team and business users as needed.
Plans team sprints with the outcome being the prioritized sprint backlog, estimates, and team commitment. Facilitates daily scrum sessions, identifies and removes impediments; prevents distractions that interfere with the ability of the team to deliver the sprint goal. Promotes getting the work done without coercion, assigning, or dictating the work.
Prepares and review demo sessions with team and works through the user acceptance criteria.
Manages releases of the team products to UAT and Production, follows up on UAT user approvals, defect resolution, testing and customer communication throughout the release cycle.
Organizes team for deployment, prepares deployment plan and coordinates smoke testing of release products.
Delivers internal and external product training on new feature enhancements.
Conducts sprint retrospectives. Promotes actionable items for continuous improvement.
Compiles, analyzes, and presents statistics about time estimation accuracy, team velocity, and burndown rate to development team and management.
Monitors performance of solutions through training, metrics, end-user adoption, usage statistics data-quality and customer satisfaction surveys.

Requirements/Skills
Advanced SQL query skills, capable of identifying data trends and how it relates to the user requirements.
Business Intelligence and/or data warehousing related background. Understanding of Business Intelligence concepts and Data Warehousing methodologies, i.e. Star Schemas, Dimensional Models, Data marts and Justification Power BI.
Bachelor’s degree in Computer Science, Finance or Business Administration.
Strong interpersonal skills, able to work well in a mixed team of developers, testers, and subject matter experts.
Driven and proactive problem solver who is self-motivated and able to make progress despite obstacles; leads by example
Excellent analytical skills, attention to detail and the ability to follow issues through to resolution.
Strong self-organization and time management skills, with emphasis on meeting commitments and follow through.
PERMANENT POSITION – VISA SPONSORSHIP IS BEING OFFER
Seniority Level
Entry level
Industry
Information Technology & Services Computer Networking Telecommunications
Employment Type
Full-time
Job Functions
Product Management Marketing","3ME Consulting, Inc.","Alpharetta, GA, US","Information Technology & Services,Computer Networking,Telecommunications",Full-time,Product Management Marketing,Entry level
power bi,"Power BI Developer with SSIS
Tampa , FL or Irving, Texas
Full time (Permanent)

Job Description
8+ years of experience in Power BI developer
Building Analysis Services reporting models.
Developing visual reports, dashboards and KPI scorecards using Power BI desktop.
Connecting to data sources, importing data and transforming data for Business Intelligence.
Excellent in analytical thinking for translating data into informative visuals and reports.
Able to implement row level security on data and have an understanding of application security layer models in Power BI.
Proficient in making DAX queries in Power BI desktop.
Expertise in using advance level calculations on the data set.
Responsible for design methodology and project documentation.
Able to develop tabular and multidimensional models that are compatible with warehouse standards.
Adept in developing, publishing and scheduling Power BI reports as per the business requirements.
Able to properly understand the business requirements and develop data models accordingly by taking care of the resources.
Should have knowledge and experience in prototyping, designing, and requirement analysis.
Should have knowledge and skills for secondary tools such as Microsoft Azure, SQL data warehouse, PolyBase, Visual Studio, etc.
Able to integrate Power BI reports into other applications using embedded analytics like Power BI service (SaaS), or by API automation. Also, one must be experienced in developing custom visuals for Power BI.

Shoaib Ali (Senior Recruitment Resource)
Phone: 331-305-2489
Enterprise Solutions inc
Naperville,IL
Email id: shoaib@enterprisesolutioninc.com
Seniority Level
Entry level
Industry
Information Technology & Services Computer Software Staffing & Recruiting
Employment Type
Full-time
Job Functions
Business Development Sales",ESG,"Irving, TX, US","Information Technology & Services,Computer Software,Staffing & Recruiting",Full-time,Business Development Sales,Entry level
People Systems and Analytics,"We are seeking a highly strategic, driven, and analytical team member to join Segment’s People & Places team. We use data analysis and consulting expertise to help drive the company’s talent strategy and operations. The successful candidate will help us transform the way data is used to optimize our talent strategy including talent acquisition, retention, organizational development, and diversity. We are looking for someone who can partner with our HR leadership to tackle high priority strategic talent questions for the company. You Will
Partner with cross-functional teams (Recruiting, IT, People Operations, and Finance) to drive requirement gathering, business process review, solution design, project management, testing, training, and documentation
Advocate for the end-user; gather customer feedback from multiple sources and user experience data to inform enhancement priorities for systems
Manage and maintain our HRIS and related tools
Extract, cleanse, analyze, and visualize data for Segment leaders
Architect, design, and prototype solutions to streamline and optimize business processes.
Work with end-users to validate data and ensure buy-in with new reporting or analysis.
Deliver data so that non-technical audiences can understand/respond as needed.
Design and build analytics tools for our growing and evolving operations
Troubleshoot data issues, validate results, recommend/implement tools and process improvements
Build/maintain reports, dashboards, and metrics for senior leadership
Engage in discussions to identify problems, quantify and improve the quality of workflows through data analysis
Integrate multiple systems and data sets to build large and complex data sets and make them usable (e.g., transforming and cleaning data, working incomplete data sources, implementing and validating quality procedures).
What You Need To Have To Be Successful
Minimum 5 years’ professional experience in data, reporting, and analytics at a global tech company
Proficiency in Workday required and other HR systems (BambooHR, CultureAmp, Greenhouse, Compass) desired
Strong problem-solving skills and ability to prioritize conflicting requirements
Excellent written and verbal communication skills and ability to succinctly summarize key findings
Ability to multitask and prioritize critical tasks and conflicting requirements with a high attention to detail
Comfortable managing competing priorities and ambiguity
Ability to effectively collaborate with technical and non-technical audiences
Experience with SQL and data visualization tools
Data storytelling and visualization skills – ability to derive meaningful insights from complex data sets and present them to various audiences
Strong math and quantitative skills
Ability to apply a strong understanding of organizational behavior concepts to the business, grounded in either Leadership and/or Human Resources experience
Seniority Level
Entry level
Industry
Banking Financial Services Investment Banking
Employment Type
Full-time
Job Functions
Other",SEGMENT,"San Francisco, CA, US","Banking,Financial Services,Investment Banking",Full-time,Other,Entry level
CRM Marketing Associate - San Francisco,"goPuff is seeking a talented CRM Marketing Associate to join our quickly growing MarketingTeam. You will bring your experience in email and in-product and mobile notifications to buildprograms that measurably impact our customer growth through conversion and retentionoptimization efforts. Success in this role requires a strong bias for action, and the ability to consistently perform atthe highest level. Having a strong analytical foundation is required. In addition to deepexpertise in engagement marketing strategies and tactics, the candidate will demonstratestrong organizational and prioritization skills.Responsibilities:
Manage end-to-end execution of email programs, including creating an experimental framework, launching campaigns, and analyzing results
Improve and manage automated triggered, lifecycle, and ad hoc B2C email, push and sms campaigns to continuously improve user onboarding, experience, and retention
Maintain performance and health of the email, push and sms channels with regard to audience segmentation, content, list hygiene, and deliverability
Audit and proactively identify campaigns that need to be updated or removed from the customer lifecycle journey
Build automated, multi-touch programs for audiences across the customer lifecycle
Work on building out strategies and campaigns for new market launches, new feature launches and product discovery to our existing users
Manage an engagement marketing calendar to keep cross-functional teams informed of upcoming and in-progress campaigns
Create engagement center of excellence to optimize marketing's usage of email, mobile, and in-product notifications
Analyze the impact of programs, using insights to constantly improve approach
Conduct ad-hoc analysis and reporting on a frequent basis
Responsible for recurring weekly reporting for the engagement marketing department
Communicate and share learnings with cross-functional teams to ensure best practices and learnings are implemented across the company
Collaborate with other parts of the business including Business Development, Analytics, Ops, Supply Chain, to share progress, learnings and best practices.
Qualifications:
2+ years of Engagement Marketing and/or CRM experience
Comprehensive understanding of email standards such as DNS, SPF, DKIM, and DMARC and regulations such as CAN-SPAM and GDPR
2+ years experience of email delivery, ISP or ESP relations or similar experience with large scale email campaigns
Comfortable building email content using HTML and CSS
Proficient in excel and other data analysis tools (e.g. Tableau)
Fanatical learner, staying ahead of the curve when it comes to new strategies, tactics and tools to improve email marketing performance
Experience designing and implementing A/B and multivariate tests
Excellent written and verbal communication skills, creative and analytical mindset
Technically relevant degree or equivalent professional qualification
Relentlessly high standards and a high attention to detail
Ability to plan strategically, but stay on top of tactical execution
For the people who have better things to do than go out of their way to stop at the store (again), goPuff is the largest digital convenience retailer delivering thousands of products ranging from snacks, drinks, and ice cream to alcohol, home essentials, and personal care items directly from centrally located warehouses to our customers’ doors.We’re currently in 50+ markets and growing fast, so we're looking for the most motivated and passionate talent to be a part of our team, grow with us, and join in our mission of delivering the moments that matter most. Note: must love snacks to work at goPuff.The goPuff Fam is committed to an inclusive workplace that does not discriminate against race, nationality, religion, age, marital status, physical or mental disability, sexual orientation, gender, or gender identity. We believe in diversity and encourage any qualified individual to apply. We are an EEOC Employer.
Seniority Level
Entry level
Industry
Marketing & Advertising Internet Retail
Employment Type
Full-time
Job Functions
Marketing Sales",goPuff,"San Francisco, CA, US","Marketing & Advertising,Internet,Retail",Full-time,Marketing Sales,Entry level
Financial Analyst,"Description

Pathway Vet Alliance is a Private Equity portfolio company and a leading veterinary management organization overseeing operations for over 200 hospitals in the US. We are currently seeking an experienced Financial Analyst to join our growing Financial Planning & Analysis team. The Financial Analyst will play a key role in supporting our corporate finance functions and enterprise level reporting and budgeting.

This position works with a dynamic and brilliant team and is responsible for providing broad analytical and financial support across all areas of the business. This position will play a key role in the company's financial planning process as well as driving operational efficiency through reporting and analysis. The role will partner with business managers to monitor key performance metrics, create and consolidate annual budget and monthly forecasts, perform cash projection and cash modeling and oversee our corporate debt and leverage ratio analytics. In addition, this role will participate in special projects as needed and prepare monthly financial reporting for Pathway’s Leadership team.

Key Area Of Ownership
Cash Tracking & Forecasting for the CFO: Daily Cash Tracking and Cash Forecasting; working with various individuals in the accounting department (AP, Revenue, Payroll, Holdbacks, Rent, etc.), M&A team, and the legal department to track cash activity, forecast cash projections, and develop weekly AP spend through analyzing cash flow. Reporting sent directly to the Chief Financial Officer.
Permitted Acquisition Tests for New Deals: As practices are closing, working on our permitted acquisition test to confirm our leverage ratio stays in compliance. Working with the M&A and legal teams to develop borrowing amounts on our credit facilities
Monthly Financial Reporting Pack: Developing and preparing monthly financial reporting package for Leadership Team and assisting with new reporting requests as needed.
Project-Based Initiatives
CapEx Model: Building new CapEx model for monthly reporting and as a resource for the operations team and procurement team for CapEx spend; Working with the VP of Operations and Operations Analyst to document CapEx process and understand reporting needs. Coordinating with the Director of Procurement to set processes in place for communicating finalized CapEx spend and tracking in the new CapEx model. Building the CapEx model, gathering data, and building reporting for monthly distribution;
Assisting with Cloud-Based Annual Budget Process: Assisting with initial development and build-out of cloud-based budget model in Adaptive Insights and maintaining the annual budget process along with quarterly forecasting; full exposure to new software implementation
Dashboarding in Power BI: Assisting with spearheading and building dashboards in Power BI through collaborative efforts with our operations team and revenue team
Required Qualifications
Bachelor’s degree in Finance, Accounting or related field
Minimum of 3+ years of relevant finance, FP&A, private equity, and/or public accounting experience
Comfortable working in a fast-paced environment and able to juggle multiple work streams
Excellent analytical, problem solving, and communication skills
Organized team player with strong attention to detail
Knowledge of budgeting, forecasting, financial modeling and variance analysis
Advanced knowledge of Microsoft Excel preferred
Positive attitude, energetic, and upbeat personality
Ability to collaborate with cross-functional teams
Preferred Qualifications
Retail, Healthcare, Veterinary or comparable industry experience a plus
Experience using reporting platforms and ERP Systems (Workday FDM, Adaptive Insights, PowerBI, Tableau, TM1, SAP, Cognos)
Workday experience is a plus",Eye Care for Animals,"Austin, TX, US",,,,
